benchmark,metric,value,num_samples,eval_time
wikitext2,perplexity,47276.60786716243,579270,44.72
wikitext2,loss,10.763770903887748,579270,44.72
wikitext2,bits_per_byte,3.3488635685266064,579270,44.72
hellaswag,accuracy,0.234,1000,52.94
hellaswag,loss,10.581798142910003,1000,52.94
hellaswag,perplexity,39410.917188605476,1000,52.94
boolq,accuracy,0.375,1000,49.48
boolq,loss,10.050432518959045,1000,49.48
boolq,perplexity,23165.804328437196,1000,49.48
lambada,accuracy,1.0,1000,19.44
lambada,loss,9.825128074645995,1000,19.44
lambada,perplexity,18492.639640796842,1000,19.44
winogrande,accuracy,0.505,1000,27.77
winogrande,loss,10.09439925289154,1000,27.77
winogrande,perplexity,24207.0514732125,1000,27.77
efficiency,throughput_tok_s,14791.393430470538,,
efficiency,inference_latency_ms,69.22944784164429,,
efficiency,peak_memory_gb,0.4077376,,
efficiency,model_size_gb,0.274887936,,
efficiency,forward_flops,140742623232,,
efficiency,training_flops_per_step,844455739392,,
efficiency,total_params,68721984,,
efficiency,trainable_params,68721984,,
efficiency,total_params_m,68.721984,,
