step,tag,value,timestamp
50,train/loss,18.181499481201172,1785274153.406759
50,train/lr,7.499999999999999e-06,1785274153.406854
50,train/tokens_per_sec,989.7771122555035,1785274153.406864
50,train/total_tokens,88853,1785274153.4068701
50,perf/data_wait_ms,5.4444169998168945,1785274153.406875
50,perf/forward_ms,11.574864387512207,1785274153.40688
50,perf/backward_ms,868.8034534454346,1785274153.4068842
50,perf/peak_memory_mb,1473.579264,1785274153.406889
100,train/loss,22.33203887939453,1785274198.2099462
100,train/lr,1.4999999999999999e-05,1785274198.209974
100,train/tokens_per_sec,1264.6098292575418,1785274198.209982
100,train/total_tokens,170183,1785274198.209989
100,perf/data_wait_ms,3.1859588623046875,1785274198.209994
100,perf/forward_ms,10.281789302825928,1785274198.209999
100,perf/backward_ms,872.177484035492,1785274198.2100039
100,perf/peak_memory_mb,1473.579264,1785274198.210009
150,train/loss,21.681713104248047,1785274247.619668
150,train/lr,2.2499999999999998e-05,1785274247.619731
150,train/tokens_per_sec,1367.4775978048413,1785274247.619741
150,train/total_tokens,251593,1785274247.6197472
150,perf/data_wait_ms,2.473909060160319,1785274247.619752
150,perf/forward_ms,10.256689389546713,1785274247.6197581
150,perf/backward_ms,903.1248537699381,1785274247.619763
150,perf/peak_memory_mb,1473.579264,1785274247.6197681
200,train/loss,39.4764518737793,1785274302.487055
200,train/lr,2.9999999999999997e-05,1785274302.487108
200,train/tokens_per_sec,1396.9206840968895,1785274302.48712
200,train/total_tokens,333656,1785274302.4871309
200,perf/data_wait_ms,2.123640775680542,1785274302.487138
200,perf/forward_ms,10.655949115753174,1785274302.487145
200,perf/backward_ms,945.2656650543213,1785274302.4871511
200,perf/peak_memory_mb,1473.579264,1785274302.487158
250,train/loss,21.164161682128906,1785274356.674143
250,train/lr,3.75e-05,1785274356.674209
250,train/tokens_per_sec,1420.2439876482706,1785274356.67422
250,train/total_tokens,416185,1785274356.674228
250,perf/data_wait_ms,1.9172735214233398,1785274356.6742349
250,perf/forward_ms,11.077008247375488,1785274356.674243
250,perf/backward_ms,967.4992141723633,1785274356.67425
250,perf/peak_memory_mb,1473.579264,1785274356.6742558
300,train/loss,32.93210220336914,1785274409.315285
300,train/lr,4.4999999999999996e-05,1785274409.315424
300,train/tokens_per_sec,1439.2076484901336,1785274409.315437
300,train/total_tokens,497503,1785274409.315446
300,perf/data_wait_ms,1.7707578341166177,1785274409.3154528
300,perf/forward_ms,10.927417278289795,1785274409.3154602
300,perf/backward_ms,977.8415910402933,1785274409.3154671
300,perf/peak_memory_mb,1473.579264,1785274409.315474
350,train/loss,24.104646682739258,1785274461.7555819
350,train/lr,5.2499999999999995e-05,1785274461.7556028
350,train/tokens_per_sec,1454.1428367519668,1785274461.755611
350,train/total_tokens,578923,1785274461.7556171
350,perf/data_wait_ms,1.6670288358415877,1785274461.755622
350,perf/forward_ms,10.928168296813965,1785274461.755628
350,perf/backward_ms,984.5177677699498,1785274461.7556329
350,perf/peak_memory_mb,1473.579264,1785274461.755637
400,train/loss,20.90220832824707,1785274515.283766
400,train/lr,5.9999999999999995e-05,1785274515.284178
400,train/tokens_per_sec,1459.6057749059974,1785274515.28419
400,train/total_tokens,659227,1785274515.284197
400,perf/data_wait_ms,1.5969431400299072,1785274515.284203
400,perf/forward_ms,11.13468050956726,1785274515.28421
400,perf/backward_ms,991.9309949874878,1785274515.284215
400,perf/peak_memory_mb,1473.579264,1785274515.284221
450,train/loss,20.827423095703125,1785274566.462413
450,train/lr,6.75e-05,1785274566.462452
450,train/tokens_per_sec,1479.7408540361046,1785274566.4624572
450,train/total_tokens,744052,1785274566.462462
450,perf/data_wait_ms,1.5618027581108942,1785274566.462465
450,perf/forward_ms,11.147785716586643,1785274566.462469
450,perf/backward_ms,992.5089359283447,1785274566.462472
450,perf/peak_memory_mb,1473.579264,1785274566.462476
500,train/loss,20.83956527709961,1785274617.043516
500,train/lr,7.5e-05,1785274617.043602
500,train/tokens_per_sec,1493.2627975293467,1785274617.0436249
500,train/total_tokens,826382,1785274617.043644
500,perf/data_wait_ms,1.5343527793884277,1785274617.04366
500,perf/forward_ms,11.12019157409668,1785274617.043678
500,perf/backward_ms,991.8098726272583,1785274617.0436952
500,perf/peak_memory_mb,1473.579264,1785274617.043712
